dataset,model,metric,mean,ci_lo,ci_hi,ci_str
microbiome,ETE3,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,pubmedbert-base-embeddings,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,RapidFuzz,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,BioS-MiniLM,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,S-PubMedBert-MS-MARCO,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,all-mpnet-base-v2-bioasq-matryoshka,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,multilingual-e5-large,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,all-MiniLM-L6-v2,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,all-mpnet-base-v2,hits@1,1.0,1.0,1.0,1.000 [1.000–1.000]
microbiome,e5-large-v2,hits@1,0.988,0.978,0.996,0.988 [0.978–0.996]
microbiome,e5-small-v2,hits@1,0.986,0.976,0.994,0.986 [0.976–0.994]
microbiome,bge-base-en-v1.5,hits@1,0.93,0.906,0.952,0.930 [0.906–0.952]
microbiome,ClinicalBERT,hits@1,0.57,0.524,0.612,0.570 [0.524–0.612]
microbiome,Bio_ClinicalBERT,hits@1,0.43,0.384,0.472,0.430 [0.384–0.472]
microbiome,SapBERT-from-PubMedBERT-fulltext,hits@1,0.232,0.194,0.268,0.232 [0.194–0.268]
