hits@1,hits@5,hits@10,recall@100,mrr,ndcg@10,query,gt_id,model,time_ms
1.0,1.0,1.0,1.0,1.0,1.0,unclassified Ornativalva,3434442,sentence-transformers/all-MiniLM-L6-v2,663.26059109997
1.0,1.0,1.0,1.0,1.0,1.0,Macrobaenetes sp. MVD560,1855066,sentence-transformers/all-MiniLM-L6-v2,315.887184930034
1.0,1.0,1.0,1.0,1.0,1.0,Erythrobacter sp. W53,3425947,sentence-transformers/all-MiniLM-L6-v2,317.2172449994832
1.0,1.0,1.0,1.0,1.0,1.0,Ophelimus sp. 1 NB-2019,2509608,sentence-transformers/all-MiniLM-L6-v2,317.0734840678051
1.0,1.0,1.0,1.0,1.0,1.0,Niphargus sp. ND703,2876511,sentence-transformers/all-MiniLM-L6-v2,316.7327599367127
1.0,1.0,1.0,1.0,1.0,1.0,Wolbachia endosymbiont of Toxorhynchites splendens,753890,sentence-transformers/all-MiniLM-L6-v2,317.7652880549431
1.0,1.0,1.0,1.0,1.0,1.0,Variovorax sp. JGI 0001020-D06,1286835,sentence-transformers/all-MiniLM-L6-v2,319.9749880004674
1.0,1.0,1.0,1.0,1.0,1.0,Micrommation larocai,1660320,sentence-transformers/all-MiniLM-L6-v2,323.1768269324675
1.0,1.0,1.0,1.0,1.0,1.0,Eucosmophora sp. Euco,1181352,sentence-transformers/all-MiniLM-L6-v2,320.30044798739254
1.0,1.0,1.0,1.0,1.0,1.0,Tortriculladia sp. BioLep01,1100672,sentence-transformers/all-MiniLM-L6-v2,340.5539110535756
1.0,1.0,1.0,1.0,1.0,1.0,Nostoc commune 2294-2,1306279,sentence-transformers/all-MiniLM-L6-v2,330.57735103648156
1.0,1.0,1.0,1.0,1.0,1.0,Chrysosporium sp. MH687,575469,sentence-transformers/all-MiniLM-L6-v2,330.2300249924883
1.0,1.0,1.0,1.0,1.0,1.0,Staphylococcus aureus C1858,1413468,sentence-transformers/all-MiniLM-L6-v2,330.2909570047632
1.0,1.0,1.0,1.0,1.0,1.0,Liacaridae sp. BIOUG21728-F11,2243292,sentence-transformers/all-MiniLM-L6-v2,330.2798670483753
1.0,1.0,1.0,1.0,1.0,1.0,Cystimyzostomum,125275,sentence-transformers/all-MiniLM-L6-v2,328.7248200504109
1.0,1.0,1.0,1.0,1.0,1.0,Influenza A virus (A/duck/Hunan/5106/2005(H5N1)),407613,sentence-transformers/all-MiniLM-L6-v2,329.5316520379856
1.0,1.0,1.0,1.0,1.0,1.0,Cyprinodon pecosensis,323264,sentence-transformers/all-MiniLM-L6-v2,318.0026040645316
1.0,1.0,1.0,1.0,1.0,1.0,Escherichia coli 576-1,752787,sentence-transformers/all-MiniLM-L6-v2,294.63701508939266
1.0,1.0,1.0,1.0,1.0,1.0,Oreostruthus,2715629,sentence-transformers/all-MiniLM-L6-v2,294.69371505547315
1.0,1.0,1.0,1.0,1.0,1.0,Phragmidium zhouquensis,1692158,sentence-transformers/all-MiniLM-L6-v2,294.2938019987196
1.0,1.0,1.0,1.0,1.0,1.0,Vibrio phage K251 g3,3105533,sentence-transformers/all-MiniLM-L6-v2,294.7703329846263
1.0,1.0,1.0,1.0,1.0,1.0,Staphylococcus phage PG-2021_86,2815638,sentence-transformers/all-MiniLM-L6-v2,294.4160270271823
1.0,1.0,1.0,1.0,1.0,1.0,Helogenes,77842,sentence-transformers/all-MiniLM-L6-v2,294.2493240116164
1.0,1.0,1.0,1.0,1.0,1.0,Alchemilla pectinata,478367,sentence-transformers/all-MiniLM-L6-v2,294.2150189774111
1.0,1.0,1.0,1.0,1.0,1.0,Nemopoda sp. BIOUG01459-F05,2407222,sentence-transformers/all-MiniLM-L6-v2,294.4126110523939
1.0,1.0,1.0,1.0,1.0,1.0,Clubiona lala,2818191,sentence-transformers/all-MiniLM-L6-v2,294.30661106016487
1.0,1.0,1.0,1.0,1.0,1.0,Influenza A virus (A/Hong Kong/CUHK60258/2007(H3N2)),2036334,sentence-transformers/all-MiniLM-L6-v2,294.4734350312501
1.0,1.0,1.0,1.0,1.0,1.0,Braconidae sp. BIOUG17812-F07,1994257,sentence-transformers/all-MiniLM-L6-v2,294.35171908698976
1.0,1.0,1.0,1.0,1.0,1.0,Semnopithecus ajax,2805936,sentence-transformers/all-MiniLM-L6-v2,294.2596949869767
1.0,1.0,1.0,1.0,1.0,1.0,Staphylococcus sp. Tn-P27,904606,sentence-transformers/all-MiniLM-L6-v2,294.2343179602176
1.0,1.0,1.0,1.0,1.0,1.0,Philosinidae,1407501,sentence-transformers/all-MiniLM-L6-v2,293.9969159197062
1.0,1.0,1.0,1.0,1.0,1.0,Guinardia,216800,sentence-transformers/all-MiniLM-L6-v2,294.1567380912602
1.0,1.0,1.0,1.0,1.0,1.0,Endocalyx ptychospermatis,2854846,sentence-transformers/all-MiniLM-L6-v2,294.09820307046175
1.0,1.0,1.0,1.0,1.0,1.0,Aliciella latifolia subsp. imperialis,2056787,sentence-transformers/all-MiniLM-L6-v2,294.1418649861589
1.0,1.0,1.0,1.0,1.0,1.0,Alderia modesta,369574,sentence-transformers/all-MiniLM-L6-v2,294.0054259961471
