dataset,chunking,llm,question,answer,ground_truth,time_s,rouge_l_f1,context_hit_rate,rouge_l
wound_infection,C1,BioMistral,Which organism is most commonly isolated from tissue and abscess wound cultures?,ENTEROCOCCUS SP.,STAPH AUREUS COAG + is the most commonly isolated organism from wound and tissue cultures.,31.716176103102043,0.3347,1.0,0.0
wound_infection,C1,BioMistral,What are the five most frequently isolated organisms from wound and tissue infections?,"The five most frequently isolated organisms from wound and tissue infections are Staphylococcus aureus, Enterobacteriaceae, Micrococcus/Stomatococcus species, Aeromonas species, and Methicillin resistant Staphylococcus aureus.","The five most frequent wound pathogens are: STAPH AUREUS COAG +, ESCHERICHIA COLI, PSEUDOMONAS AERUGINOSA, STAPHYLOCOCCUS, COAGULASE NEGATIVE, PROTEUS MIRABILIS.",3.3030732709448785,0.3347,1.0,0.1818181818181818
wound_infection,C1,BioMistral,What is the methicillin (oxacillin) resistance rate for Staphylococcus aureus in wound cultures?,The methicillin (oxacillin) resistance rate for Staphylococcus aureus in wound cultures is 37.8%.,The oxacillin (MRSA) resistance rate for Staphylococcus aureus in wound cultures is 37.8%.,1.6751103939022869,0.3347,1.0,0.8461538461538461
wound_infection,C1,BioMistral,What is the vancomycin resistance rate for Enterococcus species in wound infections?,The vancomycin resistance rate for Enterococcus species in wound infections is 44.5% (n=2949).,The vancomycin resistance rate for Enterococcus species in wound infections is 44.5%.,1.608663880964741,0.3347,1.0,0.8799999999999999
wound_infection,C1,BioMistral,What percentage of Pseudomonas aeruginosa isolates from tissue are resistant to meropenem?,10.9%,Meropenem resistance in Pseudomonas aeruginosa from tissue cultures is 10.9%.,0.38750483095645905,0.3347,1.0,0.0
wound_infection,C1,BioMistral,How resistant is Escherichia coli from wound cultures to ciprofloxacin?,Escherichia coli from wound cultures is 40.7% resistant to ciprofloxacin.,Ciprofloxacin resistance in Escherichia coli from wound cultures is 40.7%.,1.4661358541343361,0.3347,1.0,0.6
wound_infection,C1,BioMistral,Which gram-positive organisms are most commonly found in tissue and abscess specimens?,Staphylococcus aureus and Staphylococcus epidermidis are the most commonly found gram-positive organisms in tissue and abscess specimens.,"The most common gram-positive organisms in tissue specimens are: STAPH AUREUS COAG +, STAPHYLOCOCCUS, COAGULASE NEGATIVE, ENTEROCOCCUS SP..",2.020132073201239,0.3347,1.0,0.34285714285714286
wound_infection,C1,BioMistral,Are there fungal organisms isolated from wound and tissue cultures?,"Yes, there are fungal organisms isolated from wound and tissue cultures. Candida tropicalis is one of the fungal organisms isolated from wound and tissue cultures.","Fungal organisms in wound cultures include: YEAST, CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION, CANDIDA ALBICANS.",1.8882601400837302,0.3347,1.0,0.2105263157894737
wound_infection,C1,BioMistral,Which organism has the highest total isolate count in wound-related specimens?,ENTEROBACTERIACEAE.,STAPH AUREUS COAG + has the highest isolate count in wound-related specimens.,0.5710419171955436,0.3347,1.0,0.0
wound_infection,C1,BioMistral,What antibiotic resistance patterns are most clinically significant in wound infections?,The most clinically significant antibiotic resistance patterns in wound infections are methicillin resistance in Staphylococcus aureus and penicillin resistance in Enterococcus sp. These organisms are commonly found in wound infections and their resistance to antibiotics can make treatment more difficult and potentially lead to more severe infections.,"Clinically significant resistance patterns include MRSA (oxacillin resistance) in Staphylococcus aureus, carbapenem resistance in Pseudomonas aeruginosa and Klebsiella pneumoniae, and vancomycin-resistant Enterococcus (VRE).",3.5698911959771067,0.3347,1.0,0.2857142857142857
