org_name,ncbi_taxid,n_total,pct_R_OXACILLIN,pct_R_VANCOMYCIN,pct_R_CIPROFLOXACIN,pct_R_MEROPENEM,pct_R_PIPERACILLIN_TAZO,pct_R_TRIMETHOPRIM_SULFA,pct_R_CLINDAMYCIN,pct_R_GENTAMICIN,pct_R_CEFTAZIDIME,pct_R_AMPICILLIN
STAPH AUREUS COAG +,unknown,109734,37.8,0.0,39.2,,,2.2,33.2,1.0,,
ESCHERICHIA COLI,562,30315,,,40.7,0.2,2.5,36.0,,14.5,13.4,61.2
PSEUDOMONAS AERUGINOSA,287,22855,,,19.5,10.9,10.6,,,7.5,9.6,
"STAPHYLOCOCCUS, COAGULASE NEGATIVE",unknown,18553,60.0,0.0,,,,32.8,36.7,7.5,,
PROTEUS MIRABILIS,584,9931,,,21.2,0.1,0.3,24.9,,4.5,0.2,23.2
KLEBSIELLA PNEUMONIAE,573,8842,,,20.5,1.7,6.6,20.7,,11.0,16.5,
ENTEROCOCCUS SP.,1350,8472,,44.5,30.0,,,,,,,29.3
YEAST,unknown,7167,,,,,,,,,,
ENTEROBACTER CLOACAE COMPLEX,550,5561,,,8.0,1.8,9.3,9.4,,3.2,19.4,
STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP,unknown,4515,,0.0,,,,,23.1,,,
SERRATIA MARCESCENS,615,4250,,,4.9,0.0,2.0,1.7,,0.9,0.9,
CORYNEBACTERIUM SPECIES (DIPHTHEROIDS),unknown,3591,,0.0,75.0,,,79.2,78.6,1.4,,
KLEBSIELLA OXYTOCA,571,3029,,,1.5,0.0,6.4,7.2,,4.1,1.5,
BETA STREPTOCOCCUS GROUP B,unknown,2930,,0.0,,,,,50.0,,,
BACTEROIDES FRAGILIS GROUP,817,2504,,,,,,,,,,
MORGANELLA MORGANII,582,2209,,,10.3,0.0,1.4,19.6,,8.5,6.0,
ENTEROBACTER CLOACAE,550,2196,,,10.1,0.4,15.3,12.5,,2.9,16.8,
STAPHYLOCOCCUS EPIDERMIDIS,1282,1922,66.1,0.0,,,,50.0,41.9,10.1,,
CITROBACTER FREUNDII COMPLEX,546,1695,,,5.9,0.6,4.9,9.4,,2.1,19.1,
ENTEROBACTER AEROGENES,548,1691,,,2.2,0.0,10.6,2.8,,1.6,19.5,
VIRIDANS STREPTOCOCCI,unknown,1628,,0.0,,,,,19.6,,,
STAPHYLOCOCCUS LUGDUNENSIS,28035,1604,6.3,0.0,,,,29.4,13.2,0.5,,
ENTEROCOCCUS FAECALIS,1351,1212,,12.4,,,,,,,,0.0
CITROBACTER KOSERI,545,1131,,,4.0,0.0,0.0,2.4,,1.6,2.4,
ACINETOBACTER BAUMANNII COMPLEX,470,1107,,,32.5,13.1,17.0,25.6,,14.5,24.8,
CHLAMYDIA TRACHOMATIS,813,1097,,,,,,,,,,
ENTEROCOCCUS FAECIUM,1352,1073,,76.9,,,,,,,,91.8
PREVOTELLA SPECIES,838,836,,,,,,,,,,
BETA STREPTOCOCCUS GROUP A,unknown,834,,0.0,,,,,26.2,,,
"NON-FERMENTER, NOT PSEUDOMONAS AERUGINOSA",unknown,786,,,21.5,4.5,17.2,27.3,,19.7,23.1,
"CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION",unknown,777,,,,,,,,,,
GRAM NEGATIVE ROD(S),unknown,708,,,,,,,,,,
ANAEROBIC GRAM POSITIVE COCCUS(I),unknown,589,,,,,,,,,,
BETA STREPTOCOCCUS GROUP G,1320,572,,0.0,,,,,40.0,,,
CANDIDA ALBICANS,5476,569,,,,,,,,,,
GRAM POSITIVE COCCUS(COCCI),unknown,530,,,,,,,,,,
PROTEUS VULGARIS,585,464,,,2.4,0.0,0.0,9.5,,0.0,0.0,100.0
GRAM POSITIVE RODS,unknown,433,,,,,,,,,,
PROPIONIBACTERIUM ACNES,1747,432,,,,,,,,,,
ACINETOBACTER BAUMANNII,470,429,,,55.6,31.0,20.8,44.2,,24.4,46.7,
"YEAST, PRESUMPTIVELY NOT C. ALBICANS",unknown,419,,,,,,,,,,
HERPES SIMPLEX VIRUS TYPE 2,10310,412,,,,,,,,,,
STREPTOCOCCUS PNEUMONIAE,1313,402,,0.0,,,,29.2,,,,
STENOTROPHOMONAS MALTOPHILIA,40324,384,,,,,,4.3,,,51.2,
ACHROMOBACTER SP.,222,384,,,66.7,6.1,15.2,6.1,,66.7,15.2,
STREPTOCOCCUS ANGINOSUS,1328,374,,0.0,,,,,26.7,,,
LACTOBACILLUS SPECIES,1578,298,,,,,,,,0.0,,0.0
HERPES SIMPLEX VIRUS TYPE 1,10298,232,,,,,,,,,,
BETA STREPTOCOCCUS GROUP C,2918835,226,,0.0,,,,,15.4,,,
CANDIDA GLABRATA,5478,217,,,,,,,,,,
POSITIVE FOR GROUP B BETA STREPTOCOCCI,unknown,212,,,,,,,65.0,,,
HAFNIA ALVEI,569,191,,,0.0,0.0,11.8,0.0,,0.0,10.5,
PSEUDOMONAS PUTIDA ,303,185,,,0.0,0.0,11.8,100.0,,0.0,17.6,
BACILLUS SPECIES; NOT ANTHRACIS,unknown,180,,0.0,,,,,10.0,,,
CANDIDA PARAPSILOSIS,5480,180,,,,,,,,,,
STAPHYLOCOCCUS HAEMOLYTICUS,1283,180,85.7,0.0,,,,,42.9,47.6,,
STAPHYLOCOCCUS PSEUDINTERMEDIUS,283734,176,27.3,0.0,,,,,36.4,13.6,,
PANTOEA SPECIES,53335,171,,,4.5,0.0,,4.8,,0.0,4.5,
ACINETOBACTER SP.,469,164,,,5.6,0.0,,5.9,,0.0,5.9,
AEROMONAS HYDROPHILA,644,161,,,0.0,0.0,,0.0,,0.0,0.0,
STAPHYLOCOCCUS CAPITIS,29388,159,20.0,0.0,,,,,10.0,5.0,,
ALCALIGENES SPECIES,507,153,,,38.5,7.7,27.3,38.5,,69.2,38.5,
PRESUMPTIVE PEPTOSTREPTOCOCCUS SPECIES,1257,152,,,,,,,,,,
CLOSTRIDIUM PERFRINGENS,1502,151,,,,,,,,,,
NEISSERIA GONORRHOEAE,485,147,,,,,,,,,,
PROTEUS HAUSERI,183417,141,,,0.0,,0.0,0.0,,0.0,0.0,
PROVIDENCIA RETTGERI,587,139,,,13.3,0.0,0.0,6.7,,13.3,0.0,
CUTIBACTERIUM (PROPIONIBACTERIUM) ACNES,unknown,139,,,,,,,,,,
STAPHYLOCOCCUS WARNERI,1292,136,37.5,0.0,,,,,12.5,0.0,,
ALCALIGENES FAECALIS,511,134,,,33.3,0.0,16.7,33.3,,0.0,16.7,
GRAM NEGATIVE ROD #2,unknown,131,,,,,,,,,,
PROVIDENCIA STUARTII,588,130,,,35.7,0.0,0.0,7.1,,,0.0,
ENTEROBACTER ASBURIAE,61645,130,,,0.0,0.0,9.1,7.7,,0.0,14.3,
PROTEUS PENNERI,102862,128,,,0.0,,0.0,9.1,,0.0,0.0,100.0
CITROBACTER AMALONATICUS,35703,121,,,0.0,0.0,,15.4,,0.0,15.4,
"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE NEGATIVE",unknown,121,,,,,,,,,,
ACHROMOBACTER SPECIES,222,121,,,40.0,10.0,20.0,0.0,,80.0,20.0,
ANAEROBIC GRAM POSITIVE ROD(S),unknown,120,,,,,,,,,,
GRAM POSITIVE BACTERIA,unknown,119,,,,,,,,,,
HAEMOPHILUS SPECIES NOT INFLUENZAE,unknown,114,,,,,,,,,,
PROBABLE ENTEROCOCCUS,1350,114,,,,,,,,,,
STAPHYLOCOCCUS SIMULANS,1286,111,35.7,0.0,,,,,42.9,0.0,,
PSEUDOMONAS FLUORESCENS,294,101,,,0.0,0.0,10.0,,,0.0,20.0,
ENTEROBACTER SPECIES,547,101,,,0.0,9.1,,0.0,,0.0,9.1,
PASTEURELLA SPECIES,745,99,,,,,,,,,,
"BETA STREPTOCOCCI, NOT GROUP A",unknown,96,,,,,,,,,,
PSEUDOMONAS STUTZERI,unknown,95,,,,,,,,,,
MORAXELLA CATARRHALIS,480,94,,,,,,,,,,
STREPTOCOCCUS MITIS/ORALIS,unknown,93,,0.0,,,,,14.3,,,
ABIOTROPHIA/GRANULICATELLA SPECIES,117563,92,,0.0,,,,,18.2,,,
PROPIONIBACTERIUM SPECIES,1743,86,,,,,,,,,,
CITROBACTER SPECIES,544,86,,,,,,,,,,
FUSOBACTERIUM SPECIES,848,85,,,,,,,,,,
FUSOBACTERIUM NUCLEATUM,851,84,,,,,,,,,,
SERRATIA SPECIES,2985502,83,,,,,,,,,,
PROBABLE MICROCOCCUS SPECIES,1269,80,,,,,,,,,,
PROTEUS SPECIES,210425,79,,,,,,,,,,
ENTEROCOCCUS AVIUM,33945,78,,4.5,,,,,,,,4.5
PASTEURELLA MULTOCIDA,747,77,,,,,,0.0,,,,0.0
ENTEROCOCCUS GALLINARUM,1353,77,,68.4,,,,,,,,5.9
CLOSTRIDIUM SPECIES NOT C. PERFRINGENS OR C. SEPTICUM,unknown,77,,,,,,,,,,
POSITIVE FOR METHICILLIN RESISTANT STAPH AUREUS,unknown,69,,,,,,,,,,
MICROCOCCUS/STOMATOCOCCUS SPECIES,32207,68,,,,,,,,,,
SERRATIA LIQUEFACIENS,614,67,,,,,,,,,,
PRESUMPTIVE VEILLONELLA SPECIES,29465,64,,,,,,,,,,
MYCOBACTERIUM TUBERCULOSIS COMPLEX,1773,64,,,,,,,,,,
ANAEROBIC GRAM NEGATIVE ROD(S),unknown,61,,,,,,,,,,
AEROMONAS SPECIES,642,60,,,,,,,,,,
EIKENELLA CORRODENS,539,59,,,,,,,,,,
