dataset,chunking,llm,question,answer,ground_truth,time_s,rouge_l_f1,context_hit_rate,rouge_l
wound_infection,C2_wound,BioMistral,Which organism is most commonly isolated from tissue and abscess wound cultures?,PSEUDOMONAS STUTZERI,STAPH AUREUS COAG + is the most commonly isolated organism from wound and tissue cultures.,37.21184604091104,0.2065,0.8,0.0
wound_infection,C2_wound,BioMistral,What are the five most frequently isolated organisms from wound and tissue infections?,"The five most frequently isolated organisms from wound and tissue infections are Pseudomonas stutzeri, Gram positive bacteria, Enterobacteriaceae, Staphylococcus caprae, and Gram positive cocci.","The five most frequent wound pathogens are: STAPH AUREUS COAG +, ESCHERICHIA COLI, PSEUDOMONAS AERUGINOSA, STAPHYLOCOCCUS, COAGULASE NEGATIVE, PROTEUS MIRABILIS.",2.5989542020251974,0.2065,0.8,0.22727272727272727
wound_infection,C2_wound,BioMistral,What is the methicillin (oxacillin) resistance rate for Staphylococcus aureus in wound cultures?,38%,The oxacillin (MRSA) resistance rate for Staphylococcus aureus in wound cultures is 37.8%.,0.6880003950791433,0.2065,0.8,0.0
wound_infection,C2_wound,BioMistral,What is the vancomycin resistance rate for Enterococcus species in wound infections?,"The vancomycin resistance rate for Enterococcus species in wound infections is 12% for Enterococcus faecalis, 68% for Enterococcus gallinarum, 4% for Enterococcus avium, and 44% for Enterococcus sp. The vancomycin resistance rate for Enterococcus faecium is 77%.",The vancomycin resistance rate for Enterococcus species in wound infections is 44.5%.,4.455136017990299,0.2065,0.8,0.4489795918367347
wound_infection,C2_wound,BioMistral,What percentage of Pseudomonas aeruginosa isolates from tissue are resistant to meropenem?,11%R,Meropenem resistance in Pseudomonas aeruginosa from tissue cultures is 10.9%.,0.5180152669781819,0.2065,0.8,0.0
wound_infection,C2_wound,BioMistral,How resistant is Escherichia coli from wound cultures to ciprofloxacin?,Escherichia coli from wound cultures is 41% resistant to ciprofloxacin.,Ciprofloxacin resistance in Escherichia coli from wound cultures is 40.7%.,1.5571815780131146,0.2065,0.8,0.6
wound_infection,C2_wound,BioMistral,Which gram-positive organisms are most commonly found in tissue and abscess specimens?,"The most commonly found gram-positive organisms in tissue and abscess specimens are Micrococcus/Stomatococcus species, probable Micrococcus species, and Haemophilus influenzae, beta-lactamase positive.","The most common gram-positive organisms in tissue specimens are: STAPH AUREUS COAG +, STAPHYLOCOCCUS, COAGULASE NEGATIVE, ENTEROCOCCUS SP..",2.9792840130394325,0.2065,0.8,0.35000000000000003
wound_infection,C2_wound,BioMistral,Are there fungal organisms isolated from wound and tissue cultures?,"Yes, there are fungal organisms isolated from wound and tissue cultures. Candida albicans is the most common fungal organism isolated from wound and tissue cultures.","Fungal organisms in wound cultures include: YEAST, CANDIDA ALBICANS, PRESUMPTIVE IDENTIFICATION, CANDIDA ALBICANS.",1.830387223046273,0.2065,0.8,0.2105263157894737
wound_infection,C2_wound,BioMistral,Which organism has the highest total isolate count in wound-related specimens?,ENTEROBACTERIACEAE,STAPH AUREUS COAG + has the highest isolate count in wound-related specimens.,0.5673134690150619,0.2065,0.8,0.0
wound_infection,C2_wound,BioMistral,What antibiotic resistance patterns are most clinically significant in wound infections?,"The most clinically significant antibiotic resistance patterns in wound infections are those that involve vancomycin-resistant Enterococcus (VRE) and methicillin-resistant Staphylococcus aureus (MRSA). These organisms are known to cause severe and difficult-to-treat infections, and their resistance to many commonly used antibiotics makes them a significant public health concern.","Clinically significant resistance patterns include MRSA (oxacillin resistance) in Staphylococcus aureus, carbapenem resistance in Pseudomonas aeruginosa and Klebsiella pneumoniae, and vancomycin-resistant Enterococcus (VRE).",4.603203300037421,0.2065,0.8,0.22857142857142854
wound_infection,C2_wound,Mistral,Which organism is most commonly isolated from tissue and abscess wound cultures?,GRAM NEGATIVE ROD(S) is the organism most commonly isolated from tissue and abscess wound cultures.,STAPH AUREUS COAG + is the most commonly isolated organism from wound and tissue cultures.,21.437093436950818,0.3939,1.0,0.5333333333333333
wound_infection,C2_wound,Mistral,What are the five most frequently isolated organisms from wound and tissue infections?,"The five most frequently isolated organisms from wound and tissue infections, based on the provided data, are:

1. Gram Positive Cocci (Cocci): 530 isolates (42.8% from swabs, 36.0% from tissue, and 21.1% from abscesses)
2. Staphylococcus caprae (NCBI TaxID: 29380): 54 isolates (83.3% from tissue, 16.7% from abscesses)
3. Enterobacteriaceae (NCBI TaxID: 543): 52 isolates (51.9% from swabs, 48.1% from tissue)
4. Pseudomonas stutzeri: 95 isolates (61.1% from tissue, 38.9% from swabs)
5. Gram Positive Bacteria: 119 isolates (43.7% from swabs, 31.1% from tissue, 25.2% from abscesses)","The five most frequent wound pathogens are: STAPH AUREUS COAG +, ESCHERICHIA COLI, PSEUDOMONAS AERUGINOSA, STAPHYLOCOCCUS, COAGULASE NEGATIVE, PROTEUS MIRABILIS.",12.397775277961046,0.3939,1.0,0.11214953271028039
wound_infection,C2_wound,Mistral,What is the methicillin (oxacillin) resistance rate for Staphylococcus aureus in wound cultures?,The methicillin (oxacillin) resistance rate for Staphylococcus aureus in wound cultures is 38%.,The oxacillin (MRSA) resistance rate for Staphylococcus aureus in wound cultures is 37.8%.,1.765591894974932,0.3939,1.0,0.7692307692307693
wound_infection,C2_wound,Mistral,What is the vancomycin resistance rate for Enterococcus species in wound infections?,"The vancomycin resistance rate for Enterococcus species in wound infections varies among different species. Here are the resistance rates for each species:

1. Enterococcus faecalis: 12%
2. Enterococcus gallinarum: 68.4%
3. Enterococcus avium: 4%
4. Enterococcus sp.: 44.5%
5. Enterococcus fecium: 76.9%

The average vancomycin resistance rate for Enterococcus species in wound infections is approximately 32.7% (calculated as the average of the resistance rates for each species).",The vancomycin resistance rate for Enterococcus species in wound infections is 44.5%.,7.632356386049651,0.3939,1.0,0.2784810126582279
wound_infection,C2_wound,Mistral,What percentage of Pseudomonas aeruginosa isolates from tissue are resistant to meropenem?,10.9% of Pseudomonas aeruginosa isolates from tissue are resistant to meropenem.,Meropenem resistance in Pseudomonas aeruginosa from tissue cultures is 10.9%.,1.5815119369653985,0.3939,1.0,0.380952380952381
